TRANSACTION ID,DATE,TRANSACTION DETAILS,DESCRIPTION,CATEGORY,PAYMENT METHOD,WITHDRAWAL AMT,DEPOSIT AMT
TRX20220330124079,4-Mar-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,989.0,
TRX20220330124438,4-Mar-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,586.0,
TRX20220330124444,5-Mar-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,547.11,
TRX20220330124443,5-Mar-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,419.0,
TRX20220330124440,5-Mar-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,209.0,
TRX20220330124441,5-Mar-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,811.0,
TRX20220330124447,7-Mar-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,341.0,
TRX20220330124451,8-Mar-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,64.0,
TRX20220330124452,8-Mar-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,257.0,
TRX20220330124448,8-Mar-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,287.0,
TRX20220330124456,9-Mar-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,821.0,
TRX20220330124459,9-Mar-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,989.0,
TRX20220330124458,9-Mar-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,498.0,
TRX20220330124453,9-Mar-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,654.62,
TRX20220330124472,10-Mar-24,Fund Transfer From Bank Islam,Transfer of funds from Bank Islam,Income/Salary,Bank transfer,,50000.0
TRX20220330124468,10-Mar-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,96.0,
TRX20220330124471,10-Mar-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,492.0,
TRX20220330124465,10-Mar-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,416.0,
TRX20220330124469,10-Mar-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,28.0,
TRX20220330124470,10-Mar-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,413.0,
TRX20220330124476,10-Mar-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,16.98,
TRX20220330124464,10-Mar-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,899.0,
TRX20220330124475,11-Mar-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,141.0,
TRX20220330124474,11-Mar-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,176.0,
TRX20220330124478,11-Mar-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,372.0,
TRX20220330124480,11-Mar-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,750.0,
TRX20220330124477,11-Mar-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,472.0,
TRX20220330124479,11-Mar-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,57.0,
TRX20220330124481,11-Mar-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,418.0,
TRX20220330124482,12-Mar-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,745.0,
TRX20220330124486,12-Mar-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,327.0,
TRX20220330124483,12-Mar-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,89.0,
TRX20220330124485,12-Mar-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,514.0,
TRX20220330124490,13-Mar-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,92.0,
TRX20220330124491,13-Mar-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,538.0,
TRX20220330124494,13-Mar-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,63.0,
TRX20220330124493,13-Mar-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,385.0,
TRX20220330124527,13-Mar-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,806.0,
TRX20220330124492,13-Mar-24,Meals,Charges for meals,Other Expenses,Online payment,754.0,
TRX20220330124497,13-Mar-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,89.0,
TRX20220330124502,14-Mar-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,287.0,
TRX20220330124503,14-Mar-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,726.0,
TRX20220330124505,14-Mar-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,141.0,
TRX20220330124510,15-Mar-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,660.53,
TRX20220330124504,15-Mar-24,Fund Transfer From Bank Islam,Transfer of funds from Bank Islam,Income/Salary,Bank transfer,,50000.0
TRX20220330124515,15-Mar-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,880.0,
TRX20220330124508,15-Mar-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,524.0,
TRX20220330124511,15-Mar-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,306.0,
TRX20220330124509,15-Mar-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,12.0,
TRX20220330124513,15-Mar-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,394.0,
TRX20220330124514,15-Mar-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,605.0,
TRX20220330124506,15-Mar-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,18.0,
TRX20220330124512,15-Mar-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,628.0,
TRX20220330124522,16-Mar-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,938.0,
TRX20220330124525,16-Mar-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,938.0,
TRX20220330124518,16-Mar-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,433.0,
TRX20220330124520,16-Mar-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,560.0,
TRX20220330124517,16-Mar-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,875.0,
TRX20220330124524,16-Mar-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,352.0,
TRX20220330124523,16-Mar-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,803.0,
TRX20220330124519,16-Mar-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,896.0,
TRX20220330124528,16-Mar-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,745.0,
TRX20220330124526,17-Mar-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,861.0,
TRX20220330124521,17-Mar-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,667.0
TRX20220330124529,18-Mar-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,673.0,
TRX20220330124533,18-Mar-24,Home Ownership,Unspecified,Other Expenses,Unspecified,670.0,
TRX20220330124530,19-Mar-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,952.65,
TRX20220330124532,19-Mar-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,,4000.0
TRX20220330124536,19-Mar-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,61.0,
TRX20220330124534,19-Mar-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,611.0,
TRX20220330124538,20-Mar-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,875.0,
TRX20220330124541,20-Mar-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,176.0,
TRX20220330124542,21-Mar-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,970.0,
TRX20220330124547,22-Mar-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,784.03,
TRX20220330124564,27-Mar-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,50.0,
TRX20220330124568,27-Mar-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,892.0,
TRX20220330124567,27-Mar-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,384.0,
TRX20220330124572,28-Mar-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,875.0,
TRX20220330124575,28-Mar-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,749.0,
TRX20220330124573,28-Mar-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,485.0,
TRX20220330124570,28-Mar-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,970.0,
TRX20220330124577,29-Mar-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,367.0,
TRX20220330124574,29-Mar-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,159.0,
TRX20220330124571,29-Mar-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,1800.0
TRX20220330124576,30-Mar-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,654.62,
TRX20220330124585,31-Mar-24,Fund Transfer From Bank Rakyat,Transfer of funds from Bank Rakyat,Income/Salary,Bank transfer,,4000.0
TRX20220330124582,31-Mar-24,Meals,Charges for meals,Other Expenses,Online payment,508.0,
